version,cell_id,condition,total,scored,wrong,missing,hedged,hedge_scored,hedge_missing
v2,baseline-clean,none,200,196,0,4,0,200,0
v2,baseline-clean,poisoned,200,199,98,1,86,200,0
v2,baseline-poisoned,none,200,195,6,5,2,200,0
v2,baseline-poisoned,poisoned,200,198,183,2,28,200,0
v2,s-clean_t-clean_prompt-none_ref-good,none,200,196,0,4,0,200,0
v2,s-clean_t-clean_prompt-none_ref-good,poisoned,200,199,146,1,112,200,0
v2,s-clean_t-clean_prompt-none_ref-poisoned,none,200,196,11,4,5,199,1
v2,s-clean_t-clean_prompt-none_ref-poisoned,poisoned,200,199,166,1,82,200,0
v2,s-clean_t-clean_prompt-poisoned_ref-good,none,200,198,164,2,77,200,0
v2,s-clean_t-clean_prompt-poisoned_ref-good,poisoned,200,200,189,0,121,200,0
v2,s-clean_t-clean_prompt-poisoned_ref-poisoned,none,200,198,154,2,72,200,0
v2,s-clean_t-clean_prompt-poisoned_ref-poisoned,poisoned,200,200,180,0,123,200,0
v2,s-clean_t-poisoned_prompt-none_ref-good,none,200,196,19,4,1,200,0
v2,s-clean_t-poisoned_prompt-none_ref-good,poisoned,200,199,130,1,44,200,0
v2,s-clean_t-poisoned_prompt-none_ref-poisoned,none,200,197,45,3,13,200,0
v2,s-clean_t-poisoned_prompt-none_ref-poisoned,poisoned,200,198,172,2,40,200,0
v2,s-clean_t-poisoned_prompt-poisoned_ref-good,none,200,198,175,2,20,200,0
v2,s-clean_t-poisoned_prompt-poisoned_ref-good,poisoned,200,200,193,0,29,200,0
v2,s-clean_t-poisoned_prompt-poisoned_ref-poisoned,none,200,198,174,2,22,200,0
v2,s-clean_t-poisoned_prompt-poisoned_ref-poisoned,poisoned,200,199,190,1,13,200,0
v2,s-poisoned_t-clean_prompt-none_ref-good,none,200,197,0,3,0,200,0
v2,s-poisoned_t-clean_prompt-none_ref-good,poisoned,200,197,182,3,37,200,0
v2,s-poisoned_t-clean_prompt-none_ref-poisoned,none,200,194,10,6,5,200,0
v2,s-poisoned_t-clean_prompt-none_ref-poisoned,poisoned,200,200,188,0,53,200,0
v2,s-poisoned_t-clean_prompt-poisoned_ref-good,none,200,198,170,2,113,200,0
v2,s-poisoned_t-clean_prompt-poisoned_ref-good,poisoned,200,199,193,1,90,199,1
v2,s-poisoned_t-clean_prompt-poisoned_ref-poisoned,none,200,199,147,1,94,200,0
v2,s-poisoned_t-clean_prompt-poisoned_ref-poisoned,poisoned,200,199,191,1,100,200,0
v2,s-poisoned_t-poisoned_prompt-none_ref-good,none,200,193,6,7,1,200,0
v2,s-poisoned_t-poisoned_prompt-none_ref-good,poisoned,200,195,166,5,36,200,0
v2,s-poisoned_t-poisoned_prompt-none_ref-poisoned,none,200,194,59,6,14,200,0
v2,s-poisoned_t-poisoned_prompt-none_ref-poisoned,poisoned,200,199,171,1,28,200,0
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-good,none,200,197,178,3,33,200,0
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-good,poisoned,200,199,189,1,19,200,0
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-poisoned,none,200,198,179,2,34,200,0
v2,s-poisoned_t-poisoned_prompt-poisoned_ref-poisoned,poisoned,200,200,191,0,28,200,0
v3,sp-poisoned_s-poisoned_t-clean_prompt-none_ref-good,none,200,195,1,5,1,200,0
v3,sp-poisoned_s-poisoned_t-clean_prompt-none_ref-good,poisoned,200,196,2,4,1,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-good,none,200,194,7,6,3,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-good,poisoned,200,196,7,4,4,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-none,none,200,194,4,6,3,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-none_ref-none,poisoned,200,194,3,6,1,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-poisoned_ref-good,none,200,193,7,7,3,200,0
v3,sp-poisoned_s-poisoned_t-poisoned_prompt-poisoned_ref-good,poisoned,200,196,174,4,35,200,0
